"persoonsgebonden_nummer";"gemiddeld_cijfer_cijferlijst";"afkorting_vak";"cijfer_schoolexamen";"cijfer_eerste_centraal_examen"
60370;69;"ne";79;68
60370;69;"fa1";72;60
60370;69;"du1";72;0
60370;69;"en";63;65
60370;69;"gs1";67;0
60370;69;"wb1";75;0
60370;69;"na1";67;70
60370;69;"sk12";68;68
60370;69;"bi12";77;0
60370;69;"anw";62;0
60370;69;"ma1";63;59
60370;69;"lo1";NA;0
60370;69;"lett";72;0
60370;69;"ckv1";NA;0
100615;62;"ne";67;0
100615;62;"fa1";60;63
100615;62;"en";57;53
100615;62;"wb1";68;62
100615;62;"in";63;53
100615;62;"na1";64;62
100615;62;"sk";60;0
100615;62;"bi";66;53
100615;62;"anw";70;0
100615;62;"ma1";61;0
100615;62;"lo1";NA;0
100615;62;"lett";62;0
100615;62;"ckv1";NA;0
84505;64;"ne";63;0
84505;64;"fa1";59;61
84505;64;"du1";60;71
84505;64;"en";60;0
84505;64;"gs1";57;61
84505;64;"gs";46;44
84505;64;"ak";65;40
84505;64;"wa12";70;0
84505;64;"ec12";74;67
84505;64;"anw";70;0
84505;64;"ma1";70;0
84505;64;"ma";70;0
84505;64;"lo1";NA;0
84505;64;"lett";65;72
84505;64;"ckv1";NA;0
78961;71;"ne";73;0
78961;71;"la";71;50
78961;71;"fa1";66;60
78961;71;"du1";72;69
78961;71;"en";72;62
78961;71;"gs1";68;0
78961;71;"wb1";71;67
78961;71;"na1";81;0
78961;71;"sk1";71;70
78961;71;"bi12";76;0
78961;71;"anw";64;82
78961;71;"fi";86;0
78961;71;"ma1";70;0
78961;71;"lo1";NA;0
78961;71;"lett";67;0
78961;71;"kcv";81;0
78961;71;"bv3";79;68
37643;61;"ne";57;44
37643;61;"du1";58;0
37643;61;"en";65;0
37643;61;"wb1";67;0
37643;61;"na1";63;51
37643;61;"sk";73;49
37643;61;"bi";57;59
37643;61;"ec1";58;58
37643;61;"anw";68;0
37643;61;"ma1";57;57
37643;61;"lo1";NA;0
37643;61;"lett";58;51
37643;61;"ckv1";NA;0
77874;64;"ne";52;40
77874;64;"la";70;0
77874;64;"fa1";66;70
77874;64;"du1";70;0
77874;64;"en";60;0
77874;64;"gs1";74;67
77874;64;"gs";60;0
77874;64;"ak";60;71
77874;64;"wa12";66;49
77874;64;"ec12";54;47
77874;64;"anw";61;71
77874;64;"ma1";60;0
77874;64;"ma";60;0
77874;64;"lo1";NA;0
77874;64;"lett";80;0
77874;64;"kcv";52;62
85710;77;"ne";73;60
85710;77;"fa1";68;66
85710;77;"du1";83;81
85710;77;"en";83;0
85710;77;"gs1";68;0
85710;77;"gs";79;0
85710;77;"ak";76;78
85710;77;"wa12";80;77
85710;77;"bi1";76;0
85710;77;"ec12";73;0
85710;77;"anw";83;0
85710;77;"ma1";90;60
85710;77;"lo1";NA;0
85710;77;"lett";75;0
85710;77;"ckv1";NA;0
5258;70;"ne";60;0
5258;70;"fa12";51;52
5258;70;"du12";79;83
5258;70;"en";70;0
5258;70;"gs1";74;63
5258;70;"gs";70;0
5258;70;"ak";70;0
5258;70;"wa1";86;73
5258;70;"anw";77;68
5258;70;"ma1";60;0
5258;70;"lo1";NA;0
5258;70;"lett";79;68
5258;70;"kcv";69;78
5258;70;"bv23";90;0
146853;66;"ne";69;67
146853;66;"fa12";65;68
146853;66;"en";68;75
146853;66;"gs";63;66
146853;66;"wa12";58;56
146853;66;"ec12";64;0
146853;66;"te";83;0
146853;66;"anw";70;66
146853;66;"fi";54;55
146853;66;"ma1";69;0
146853;66;"lo1";NA;0
146853;66;"lett";65;79
146853;66;"ckv1";NA;0
6528;65;"ne";56;0
6528;65;"fa1";76;0
6528;65;"du1";57;57
6528;65;"en";62;56
6528;65;"gs1";70;0
6528;65;"wb1";63;0
6528;65;"na1";71;0
6528;65;"sk1";60;46
6528;65;"bi12";59;60
6528;65;"ec12";69;72
6528;65;"anw";69;0
6528;65;"ma1";63;72
6528;65;"lo1";NA;0
6528;65;"lett";62;57
