"CBS_APCG_PC4";"CBS_APCG_tf";"CBS_APCG_Jaar"
1013;TRUE;2019
1018;TRUE;2019
1021;TRUE;2019
1022;TRUE;2019
1023;TRUE;2019
1024;TRUE;2019
1025;TRUE;2019
1031;TRUE;2019
1032;TRUE;2019
1033;TRUE;2019
1034;TRUE;2019
1035;TRUE;2019
1043;TRUE;2019
1051;TRUE;2019
1052;TRUE;2019
1053;TRUE;2019
1055;TRUE;2019
1056;TRUE;2019
1057;TRUE;2019
1061;TRUE;2019
1062;TRUE;2019
1063;TRUE;2019
1064;TRUE;2019
1065;TRUE;2019
1067;TRUE;2019
1068;TRUE;2019
1069;TRUE;2019
1072;TRUE;2019
1073;TRUE;2019
1074;TRUE;2019
1076;TRUE;2019
1079;TRUE;2019
1087;TRUE;2019
1091;TRUE;2019
1092;TRUE;2019
1093;TRUE;2019
1094;TRUE;2019
1095;TRUE;2019
1097;TRUE;2019
1102;TRUE;2019
1103;TRUE;2019
1104;TRUE;2019
1106;TRUE;2019
1107;TRUE;2019
1212;TRUE;2019
1221;TRUE;2019
1222;TRUE;2019
1274;TRUE;2019
1314;TRUE;2019
1315;TRUE;2019
1317;TRUE;2019
1324;TRUE;2019
1325;TRUE;2019
1333;TRUE;2019
1334;TRUE;2019
1353;TRUE;2019
1354;TRUE;2019
1355;TRUE;2019
1443;TRUE;2019
1445;TRUE;2019
1502;TRUE;2019
1503;TRUE;2019
1504;TRUE;2019
1505;TRUE;2019
1508;TRUE;2019
1622;TRUE;2019
1624;TRUE;2019
1784;TRUE;2019
1813;TRUE;2019
1814;TRUE;2019
1816;TRUE;2019
1825;TRUE;2019
1945;TRUE;2019
1946;TRUE;2019
1947;TRUE;2019
1951;TRUE;2019
1962;TRUE;2019
1966;TRUE;2019
1974;TRUE;2019
1975;TRUE;2019
2032;TRUE;2019
2033;TRUE;2019
2034;TRUE;2019
2035;TRUE;2019
2037;TRUE;2019
2262;TRUE;2019
2263;TRUE;2019
2273;TRUE;2019
2284;TRUE;2019
2287;TRUE;2019
2289;TRUE;2019
2315;TRUE;2019
2316;TRUE;2019
2321;TRUE;2019
2324;TRUE;2019
2497;TRUE;2019
2511;TRUE;2019
2512;TRUE;2019
2513;TRUE;2019
2515;TRUE;2019
2516;TRUE;2019
2518;TRUE;2019
2521;TRUE;2019
2522;TRUE;2019
2523;TRUE;2019
2524;TRUE;2019
2525;TRUE;2019
2526;TRUE;2019
2531;TRUE;2019
2532;TRUE;2019
2533;TRUE;2019
2541;TRUE;2019
2542;TRUE;2019
2543;TRUE;2019
2544;TRUE;2019
2545;TRUE;2019
2551;TRUE;2019
2562;TRUE;2019
2563;TRUE;2019
2571;TRUE;2019
2572;TRUE;2019
2573;TRUE;2019
2574;TRUE;2019
2591;TRUE;2019
2592;TRUE;2019
2595;TRUE;2019
2612;TRUE;2019
2624;TRUE;2019
2625;TRUE;2019
2715;TRUE;2019
2716;TRUE;2019
2717;TRUE;2019
2722;TRUE;2019
2802;TRUE;2019
2806;TRUE;2019
2903;TRUE;2019
2905;TRUE;2019
2906;TRUE;2019
2907;TRUE;2019
3014;TRUE;2019
3021;TRUE;2019
3022;TRUE;2019
3023;TRUE;2019
3024;TRUE;2019
3025;TRUE;2019
3026;TRUE;2019
3027;TRUE;2019
3028;TRUE;2019
3029;TRUE;2019
3031;TRUE;2019
3032;TRUE;2019
3033;TRUE;2019
3034;TRUE;2019
3035;TRUE;2019
3036;TRUE;2019
3037;TRUE;2019
3038;TRUE;2019
3042;TRUE;2019
3043;TRUE;2019
3052;TRUE;2019
3053;TRUE;2019
3054;TRUE;2019
3061;TRUE;2019
3063;TRUE;2019
3066;TRUE;2019
3067;TRUE;2019
3068;TRUE;2019
3069;TRUE;2019
3071;TRUE;2019
3072;TRUE;2019
3073;TRUE;2019
3074;TRUE;2019
3075;TRUE;2019
3076;TRUE;2019
3077;TRUE;2019
3078;TRUE;2019
3079;TRUE;2019
3081;TRUE;2019
3082;TRUE;2019
3083;TRUE;2019
3084;TRUE;2019
3085;TRUE;2019
3086;TRUE;2019
3087;TRUE;2019
3089;TRUE;2019
3111;TRUE;2019
3112;TRUE;2019
3114;TRUE;2019
3118;TRUE;2019
3119;TRUE;2019
3122;TRUE;2019
3131;TRUE;2019
3132;TRUE;2019
3134;TRUE;2019
3136;TRUE;2019
3141;TRUE;2019
3142;TRUE;2019
3192;TRUE;2019
3193;TRUE;2019
3194;TRUE;2019
3201;TRUE;2019
3202;TRUE;2019
3203;TRUE;2019
3204;TRUE;2019
3206;TRUE;2019
3208;TRUE;2019
3222;TRUE;2019
3311;TRUE;2019
3314;TRUE;2019
3317;TRUE;2019
