SES_Verslagjaar;SES_PC4;SES_Aantal_huishoudens;SES_Deelscore_welvaart;SES_Deelscore_arbeid;SES_Totaalscore;SES_Spreiding_welvaart;SES_Spreiding_arbeid;SES_Spreiding_totaalscore;SES_Interval_ondergrens;SES_Interval_bovengrens
2021;1011;5700;-0,01;-0,013;0,111;0,434;0,34;0,878;0,873;0,884
2021;1012;5300;-0,067;-0,001;0,074;0,444;0,338;0,834;0,829;0,839
2021;1013;12100;-0,059;-0,032;0,004;0,447;0,376;0,979;0,976;0,982
2021;1014;1300;0,184;0,089;0,495;0,291;0,269;0,7;0,691;0,709
2021;1015;9000;-0,014;-0,019;0,095;0,436;0,351;0,892;0,89;0,894
2021;1016;6700;0,026;-0,008;0,166;0,414;0,336;0,837;0,833;0,841
2021;1017;7200;0,101;0,015;0,307;0,367;0,317;0,742;0,739;0,746
2021;1018;11300;-0,02;-0,027;0,082;0,437;0,362;0,932;0,93;0,935
2021;1019;9400;0,101;0,057;0,331;0,357;0,298;0,799;0,795;0,802
2021;1021;3600;-0,22;-0,117;-0,373;0,439;0,447;1,07;1,065;1,075
2021;1022;1700;-0,053;0,013;0,045;0,443;0,357;1;0,99;1,011
2021;1023;2300;-0,079;-0,02;-0,084;0,433;0,355;1,001;0,996;1,006
2021;1024;5900;-0,142;-0,06;-0,244;0,43;0,405;1,001;0,998;1,005
2021;1025;7500;-0,131;-0,073;-0,221;0,44;0,386;0,988;0,985;0,991
2021;1026;200;0,262;0,088;0,563;0,201;0,234;0,526;0,506;0,547
2021;1027;200;0,041;0;0,136;0,448;0,327;0,919;0,883;0,954
2021;1028;200;0,29;0,084;0,529;0,157;0,227;0,534;0,509;0,559
2021;1031;3700;-0,175;-0,092;-0,257;0,463;0,442;1,095;1,09;1,1
2021;1032;2900;-0,15;-0,062;-0,224;0,45;0,408;1,085;1,078;1,092
2021;1033;6700;-0,125;-0,045;-0,169;0,413;0,38;0,953;0,951;0,956
2021;1034;6600;-0,155;-0,08;-0,284;0,442;0,414;1,038;1,034;1,041
2021;1035;4500;-0,018;-0,008;-0,012;0,418;0,35;0,947;0,941;0,953
2021;1036;900;0,107;0,116;0,368;0,348;0,244;0,794;0,788;0,799
2021;1037;100;NA;NA;NA;NA;NA;NA;NA;NA
2021;1041;0;NA;NA;NA;NA;NA;NA;NA;NA
2021;1042;0;NA;NA;NA;NA;NA;NA;NA;NA
2021;1043;400;-0,262;-0,174;-0,369;0,404;0,414;0,86;0,834;0,885
2021;1045;0;NA;NA;NA;NA;NA;NA;NA;NA
2021;1046;100;NA;NA;NA;NA;NA;NA;NA;NA
2021;1047;0;NA;NA;NA;NA;NA;NA;NA;NA
2021;1051;7500;-0,045;-0,004;0,058;0,438;0,363;0,975;0,971;0,978
2021;1052;7100;-0,05;-0,018;0,042;0,445;0,367;0,969;0,966;0,973
2021;1053;9800;-0,069;-0,031;0,003;0,447;0,377;0,984;0,98;0,989
2021;1054;9700;0,043;0,014;0,232;0,402;0,331;0,842;0,839;0,846
2021;1055;11300;-0,094;-0,031;-0,064;0,441;0,384;1,025;1,022;1,028
2021;1056;9900;-0,07;-0,028;-0,012;0,441;0,38;1,016;1,013;1,019
2021;1057;9200;-0,098;-0,042;-0,075;0,448;0,394;1,038;1,035;1,042
2021;1058;8500;0,033;0,032;0,219;0,396;0,314;0,853;0,848;0,857
2021;1059;3500;0,015;0,006;0,159;0,41;0,345;0,903;0,897;0,91
2021;1060;3900;0,081;0,047;0,186;0,371;0,306;0,874;0,871;0,878
2021;1061;6600;-0,125;-0,061;-0,193;0,45;0,422;1,123;1,119;1,128
2021;1062;7300;-0,083;-0,022;-0,005;0,42;0,362;0,92;0,916;0,923
2021;1063;5700;-0,201;-0,109;-0,383;0,443;0,439;1,062;1,058;1,066
2021;1064;7900;-0,181;-0,097;-0,334;0,455;0,426;1,071;1,068;1,074
2021;1065;5500;-0,174;-0,079;-0,275;0,433;0,405;0,995;0,992;0,998
2021;1066;7900;0,028;0,023;0,116;0,395;0,317;0,883;0,877;0,888
2021;1067;8000;-0,158;-0,064;-0,292;0,437;0,41;1,021;1,019;1,024
2021;1068;8500;-0,156;-0,09;-0,297;0,437;0,398;1,009;1,005;1,013
2021;1069;11100;-0,135;-0,051;-0,23;0,431;0,393;0,994;0,99;0,997
2021;1071;6400;0,164;0,028;0,398;0,31;0,287;0,674;0,669;0,678
2021;1072;8300;-0,034;-0,014;0,083;0,427;0,359;0,908;0,905;0,911
2021;1073;7800;-0,082;-0,047;-0,025;0,447;0,386;0,976;0,972;0,981
2021;1074;4800;-0,085;-0,059;-0,062;0,455;0,388;1,011;1,004;1,017
