Actuele instelling|Naam actuele instelling
00DV|Protestantse Theologische Universiteit
00IC|Hogeschool KPZ
00MF|Hogeschool voor de Kunsten Utrecht
00RJ|Hogeschool Diedenoort
01VU|Christelijke Hogeschool Windesheim
02BY|Gerrit Rietveld Academie
02NR|Hotelschool The Hague
02NT|Design Academy Eindhoven
07GR|Avans Hogeschool
08OK|Pedagogische Hogeschool De Kempel
08QJ|PABO Leiden
09OT|Iselinge Hogeschool
10IZ|Marnix Academie
14NI|Codarts, Hogeschool voor de Kunsten
15BK|Driestar educatief
21CW|HAS green academy
21MI|HZ University of Applied Sciences
21PB|Universiteit Leiden
21PC|Rijksuniversiteit Groningen
21PD|Universiteit Utrecht
21PE|Erasmus Universiteit Rotterdam
21PF|Technische Universiteit Delft
21PG|Technische Universiteit Eindhoven
21PH|Universiteit Twente
21PI|Wageningen University
21PJ|Universiteit Maastricht
21PK|Universiteit van Amsterdam
21PL|Vrije Universiteit Amsterdam
21PM|Radboud Universiteit Nijmegen
21PN|Tilburg University
21QA|Amsterdamse Hogeschool voor de Kunsten
21QO|Theologische Universiteit Apeldoorn
21RI|Hogeschool Leiden
21UG|Hogeschool IPABO Amsterdam Alkmaar
21UI|Breda University of Applied Sciences
22HH|Hogeschool Viaa
22OJ|Hogeschool Rotterdam
23AH|Saxion Hogeschool
23BF|Universiteit voor Humanistiek
23KJ|Hogeschool der Kunsten Den Haag
24LK|Leidse Onderwijsinstellingen (aangewezen)
24UY|NTI Hogeschool (aangewezen)
25AV|Theologische Universiteit Utrecht
25BA|Christelijke Hogeschool Ede
25BE|Hanzehogeschool Groningen
25DW|Hogeschool Utrecht
25JX|Zuyd Hogeschool
25KB|Hogeschool van Arnhem en Nijmegen
27NF|ArtEZ
27PZ|Hogeschool Inholland
27UM|De Haagse Hogeschool
27YA|transnationale Universiteit Limburg
28DN|Hogeschool van Amsterdam
29PY|Saxion Next (aangewezen)
30GB|Fontys Hogeschool
30HD|Hogeschool Van Hall Larenstein
30TX|Aeres Hogeschool
30VP|Hogeschool Thomas More
31FR|NHL Stenden Hogeschool
