Instellingscode|Naam instelling
00BH|Saxion Hogeschool Deventer
00BM|Katholieke Theologische Universiteit Utrecht
00DV|Protestantse Theologische Universiteit
00EY|Rijkshogeschool Groningen
00HV|Theologische Faculteit Tilburg
00IC|Hogeschool KPZ
00KO|Hanzehogeschool Groningen
00KP|HEAO Limburg
00KY|Van Leeuwenhoek Instituut
00LB|Hogeschool voor Economische Studies Rotterdam
00LF|Haagse Academie voor Lichamelijke Opvoeding
00LO|Opleiding voor Laboratoriumpersoneel te Venlo
00LV|Sociale Academie Den Bosch
00LX|Akademie Mens-Arbeid te Tilburg
00MF|Hogeschool voor de Kunsten Utrecht
00NH|Twents Conservatorium afdeling Muziekvakopleiding
00NN|School voor HEAO Arnhem
00PK|Hogeschool voor Economie en Management Utrecht
00QO|International Institute for Geo-Information Science and Earth Observation (ITC) (aangewezen)
00RJ|Hogeschool Diedenoort
00SX|Sociale Academie Gelderland
00TP|Lerarenopleiding Zuid-West Nederland
00UK|Gereformeerde Sociale Academie
00YZ|Humanistisch Opleidingsinstituut
00ZB|Internationale Academie voor Fysiotherapie
00ZI|Twentse Akademie voor Gezondheidszorg
01CC|Instituut voor Hoger Beroepsonderwijs te Emmen
01DZ|Stoas Hogeschool
01EH|Evangelische School voor Journalistiek (aangewezen)
01FV|Hogere Bosbouw en Cultuurtechniek School
01LT|Conservatorium van Amsterdam
01MC|Nyenrode Business Universiteit (aangewezen)
01MY|Christelijke Agrarische Hogeschool
01VU|Christelijke Hogeschool Windesheim
02BO|HTS voor Autotechniek
02BY|Gerrit Rietveld Academie
02CS|Stichting voor Hoger Technisch Onderwijs te Dordrecht
02CY|Akademie voor Beeldende Kunst Oost-Nederland
02DS|Akademie voor Beeldende Kunsten te Arnhem
02IT|Katholieke Hogere Hotelschool
02JL|Katholieke Sociale Academie te Enschede
02LD|Hogeschool De Horst
02LP|Sociale Academie Twente
02NN|RK Technische Hogeschool Rijswijk
02NR|Hotelschool The Hague
02NT|Design Academy Eindhoven
02NU|Academie van Bouwkunst Arnhem
03BO|Hogeschool Holland
03DT|Hogere Technische School te Enschede
03EP|Rijks Agrarische Hogeschool Prof. H.C. van Hall Instituut
03GS|Nutsacademie voor Pedagogische en Maatschappelijke Vorming
03IP|Avond HEAO te Sittard
03MG|Hogeschool Alkmaar
03YX|Gereformeerde Sociale Academie De Vijverberg
04CS|Hogeschool Helicon
04YD|Scholengemeenschap voor HEAO en HTS te Venlo
05LE|Christelijke Hogeschool Felua
06AW|School voor Fysiotherapie te Enschede
