Instellingscode|Vestigingsnummer|Gemeentenaam volgens RIO|Gemeentecode per 1 januari 2025|Gemeentenaam per 1 januari 2025
00BH|00|DEVENTER|0150|Deventer
00BH|01|APELDOORN|0200|Apeldoorn
00BH|02|ENSCHEDE|0153|Enschede
00BM|00|UTRECHT|0344|Utrecht
00DV|00|KAMPEN|0166|Kampen
00DV|01|UTRECHT|0344|Utrecht
00DV|02|LEIDEN|0546|Leiden
00DV|03|AMSTERDAM|0363|Amsterdam
00DV|04|GRONINGEN|0014|Groningen
00EY|00|GRONINGEN|0014|Groningen
00HV|00|TILBURG|0855|Tilburg
00IC|00|ZWOLLE|0193|Zwolle
00KO|00|GRONINGEN|0014|Groningen
00KP|00|SITTARD|1883|Sittard-Geleen
00KY|00|DELFT|0503|Delft
00LB|00|ROTTERDAM|0599|Rotterdam
00LF|00|'S-GRAVENHAGE|0518|'s-Gravenhage
00LO|00|VENLO|0983|Venlo
00LV|00|'S-HERTOGENBOSCH|0796|'s-Hertogenbosch
00LX|00|TILBURG|0855|Tilburg
00MF|00|UTRECHT|0344|Utrecht
00MF|04|AMERSFOORT|0307|Amersfoort
00MF|05|HILVERSUM|0402|Hilversum
00NH|00|ENSCHEDE|0153|Enschede
00NN|00|ARNHEM|0202|Arnhem
00NN|01|NIJMEGEN|0268|Nijmegen
00PK|00|UTRECHT|0344|Utrecht
00QO|01|ENSCHEDE|0153|Enschede
00RJ|00|WAGENINGEN|0289|Wageningen
00SX|00|ARNHEM|0202|Arnhem
00TP|00|DELFT|0503|Delft
00UK|00|ZWOLLE|0193|Zwolle
00YZ|00|UTRECHT|0344|Utrecht
00ZB|00|UTRECHT|0344|Utrecht
00ZI|00|HENGELO|0164|Hengelo
01CC|00|EMMEN|0114|Emmen
01DZ|00|DRONTEN|0303|Dronten
01DZ|01|'S-HERTOGENBOSCH|0796|'s-Hertogenbosch
01DZ|02|WAGENINGEN|0289|Wageningen
01FV|00|RHEDEN|0275|Rheden
01LT|00|AMSTERDAM|0363|Amsterdam
01MC|00|STICHTSE VECHT|1904|Stichtse Vecht
01MC|01|AMSTERDAM|0363|Amsterdam
01MY|00|DRONTEN|0303|Dronten
01MY|01|ALMERE|0034|Almere
01VU|00|ZWOLLE|0193|Zwolle
01VU|01|LEEUWARDEN|0080|Leeuwarden
01VU|02|OEGSTGEEST|0579|Oegstgeest
01VU|03|UTRECHT|0344|Utrecht
01VU|04|UTRECHT|0344|Utrecht
01VU|05|GRONINGEN|0014|Groningen
01VU|06|ENSCHEDE|0153|Enschede
01VU|07|LELYSTAD|0995|Lelystad
01VU|08|UTRECHTSE HEUVELRUG|1581|Utrechtse Heuvelrug
01VU|09|APELDOORN|0200|Apeldoorn
01VU|10|HAARLEMMERMEER|0394|Haarlemmermeer
01VU|11|ALMERE|0034|Almere
01VU|12|AMSTERDAM|0363|Amsterdam
01VU|13|HENGELO (O)|0164|Hengelo
02BO|00|APELDOORN|0200|Apeldoorn
02BY|00|AMSTERDAM|0363|Amsterdam
02CS|00|DORDRECHT|0505|Dordrecht
02CY|00|ENSCHEDE|0153|Enschede
02DS|00|ARNHEM|0202|Arnhem
02IT|00|MAASTRICHT|0935|Maastricht
02JL|00|ENSCHEDE|0153|Enschede
02LD|00|DRIEBERGEN-RIJSENBURG|1581|Utrechtse Heuvelrug
02LD|01|AMERSFOORT|0307|Amersfoort
02LP|00|HENGELO|0164|Hengelo
02NN|00|RIJSWIJK|0603|Rijswijk
02NN|02|DELFT|0503|Delft
02NR|00|'S-GRAVENHAGE|0518|'s-Gravenhage
02NR|01|AMSTERDAM|0363|Amsterdam
02NT|00|EINDHOVEN|0772|Eindhoven
02NU|00|ARNHEM|0202|Arnhem
03BO|00|DIEMEN|0384|Diemen
03BO|01|DORDRECHT|0505|Dordrecht
03BO|02|ZAANSTAD|0479|Zaanstad
03BO|03|AMSTERDAM|0363|Amsterdam
03BO|04|HAARLEM|0392|Haarlem
03BO|05|DELFT|0503|Delft
03BO|06|ROTTERDAM|0599|Rotterdam
03DT|00|ENSCHEDE|0153|Enschede
03EP|00|GRONINGEN|0014|Groningen
03GS|00|ROTTERDAM|0599|Rotterdam
03IP|00|SITTARD|1883|Sittard-Geleen
03MG|00|ALKMAAR|0361|Alkmaar
03MG|02|ZAANSTAD|0479|Zaanstad
03MG|03|DELFT|0503|Delft
