Opleidingscode|ISCEDF2013-detailgroep|ISCEDF2013-detailgroep omschrijving|ISCEDF2013-rubriek|ISCEDF2013-rubriek omschrijving
01020|0414|marketing en public relations|041401|marketing, commerciele economie
01021|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
01022|0413|management bedrijfs- en personeelswetenschappen|041301|bestuurskunde algemeen
01023|0312|politicologie en maatschappijwetenschappen|031201|politicologie
01024|0413|management bedrijfs- en personeelswetenschappen|041301|bestuurskunde algemeen
01025|0222|geschiedenis, archeologie|022201|geschiedenis
01026|0413|management bedrijfs- en personeelswetenschappen|041301|bestuurskunde algemeen
01027|0232|moedertaal, literatuur-, taalwetenschap|023203|taal- en cultuurwetenschappen
01028|0223|filosofie en ethiek|022301|filosofie
01029|0311|economie en econometrie|031101|economie
01030|0613|softwareontwikkeling en systeemanalyse|061305|bedrijfsinformatica
01031|0521|milieu|052101|milieukunde
01032|0521|milieu|052101|milieukunde
01033|0532|aardwetenschappen|053201|geologie, fysische geografie
01034|0511|biologie|051101|biologie
01035|0712|milieubescherming en milieutechnologie|071202|milieumanagement
01036|0914|medische diagnostiek en medische technologie|091408|hart-, longfunctie en overige medische techniek
01037|1022|veiligheid op het werk en ergonomie|102202|ergonomie
01038|0413|management bedrijfs- en personeelswetenschappen|041304|organisatiekunde, kwaliteitszorg
01039|0413|management bedrijfs- en personeelswetenschappen|041304|organisatiekunde, kwaliteitszorg
01040|0314|sociologie en culturele wetenschappen|031401|sociale wetenschappen
01041|0314|sociologie en culturele wetenschappen|031402|sociologie
01042|0613|softwareontwikkeling en systeemanalyse|061301|informatietechnologie algemeen
01043|0613|softwareontwikkeling en systeemanalyse|061301|informatietechnologie algemeen
01044|0613|softwareontwikkeling en systeemanalyse|061301|informatietechnologie algemeen
01045|0541|wiskunde|054101|wiskunde
01046|0413|management bedrijfs- en personeelswetenschappen|041306|personeelswerk
01047|0111|onderwijskunde|011101|onderwijskunde
04001|0231|vreemde talen z.n.d.|023109|tolk-vertaler
04003|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
04004|0231|vreemde talen|023109|tolk-vertaler
04005|0231|vreemde talen|023108|niet westerse talen en culturen
04006|0413|management bedrijfs- en personeelswetenschappen|041305|bedrijfseconomie
04007|1013|horeca|101301|horeca algemeen
04008|0416|groothandel en detailhandel|041602|detailhandel
04009|0413|management bedrijfs- en personeelswetenschappen|041306|personeelswerk
04011|0415|secretariële en administratieve ondersteuning|041505|secretarieel (incl. managementassistentie)
04012|0411|financieel management en belastingen|041101|financieel management en administratie
04013|1015|toerisme en vrijetijdsbesteding|101503|vrijetijdsbesteding, recreatie
04014|0411|financieel management en belastingen|041101|financieel management en administratie
04015|0415|secretariële en administratieve ondersteuning|041505|secretarieel (incl. managementassistentie)
04016|0917|traditionele en alternatieve geneeskunde en therapie|091701|traditionele en alternatieve geneeskunde en therapie
04017|1032|openbare orde en veiligheid|103201|beveiliging algemeen
04018|1041|transport en logistiek|104101|(transport en) logistiek algemeen
04019|0311|economie en econometrie|031101|economie
04020|0416|groothandel en detailhandel|041604|makelaardij, vastgoedkunde
04021|0411|financieel management en belastingen|041101|financieel management en administratie
04022|0411|financieel management en belastingen|041101|financieel management en administratie
04023|0412|financiële dienstverlening|041202|verzekeringswezen
04024|0412|financiële dienstverlening|041202|verzekeringswezen
04025|0413|management bedrijfs- en personeelswetenschappen|041309|office management (excl. managementassistentie)
04026|0414|marketing en public relations|041401|marketing, commerciele economie
04027|1015|toerisme en vrijetijdsbesteding|101501|toerisme
04028|0414|marketing en public relations|041401|marketing, commerciele economie
04029|0414|marketing en public relations|041401|marketing, commerciele economie
04030|1015|toerisme en vrijetijdsbesteding|101501|toerisme
04031|1015|toerisme en vrijetijdsbesteding|101501|toerisme
04032|1015|toerisme en vrijetijdsbesteding|101501|toerisme
04034|0413|management bedrijfs- en personeelswetenschappen|041304|organisatiekunde, kwaliteitszorg
04035|0413|management bedrijfs- en personeelswetenschappen|041303|management algemeen, bedrijfskunde
04036|0321|journalistiek|032102|communicatiewetenschappen
04037|0412|financiële dienstverlening|041201|geld- en bankzaken
04038|0414|marketing en public relations|041401|marketing, commerciele economie
04039|0414|marketing en public relations|041401|marketing, commerciele economie
04040|1014|sport|101401|sport en bewegen algemeen
04041|0416|groothandel en detailhandel|041603|groothandel, export en overige handel
04042|0412|financiële dienstverlening|041202|verzekeringswezen
04043|0412|financiële dienstverlening|041201|geld- en bankzaken
04044|0413|management bedrijfs- en personeelswetenschappen|041309|office management (excl. managementassistentie)
04045|0413|management bedrijfs- en personeelswetenschappen|041309|office management (excl. managementassistentie)
