Instellingscode|Naam|Postcodecijfers|Plaats|Datum oprichting|Datum opheffing|Code denominatie (= richting)|Naam denominatie (= richting)
00AC|Muziekschool Odeion|6191|BEEK LB|19801001|20140801|OPB|Openbaar
00AD|Alg Pedag Studiec Intern|1081|AMSTERDAM|19780101||ABZ|Algemeen bijzonder
00AE|Sch Adv Dienst Nijmegen|6525|NIJMEGEN|19710506||ABZ|Algemeen bijzonder
00AF|HET YSSELCOLLEGE|8021|ZWOLLE|19720801|19961101|ABZ|Algemeen bijzonder
00AG|OPL OEFENTHERAPIE CESAR|3734|DEN DOLDER|19810101|19970101|ABZ|Algemeen bijzonder
00AH|Het Stedelijk Kottenpark|7522|ENSCHEDE|19750801||OPB|Openbaar
00AI|Consent|6411|HEERLEN|19630502||ABZ|Algemeen bijzonder
00AJ|Muz Centr Z Kennemerland|2011|HAARLEM|19780101|20140801|ABZ|Algemeen bijzonder
00AK|COA GRONINGEN|9718|GRONINGEN|19831017|19950401|ABZ|Algemeen bijzonder
00AL|OND BEGELEID DIENST|4251|WERKENDAM|19770322|19910901|ABZ|Algemeen bijzonder
00AM|ONDERWIJSADVIES|2722|ZOETERMEER|19761201||ABZ|Algemeen bijzonder
00AN|Sch Beg Dienst Z Vallei|6711|EDE|19810101|20050101|ABZ|Algemeen bijzonder
00AO|De Bolster VSO ZMOK|7383|VOORST GEM VOORST|19840801||PC|Protestants-Christelijk
00AP|WereldWijs|2716|ZOETERMEER|19850801||GEV|Gereformeerd vrijgemaakt
00AQ|Zwin College SGM|4501|OOSTBURG|19850801||BIJ|Bijzonder
00AR|BS "De Maasparel"|6107|STEVENSWEERT|19850801||RK|Rooms-Katholiek
00AS|BASISINT STE MARIE|4635|HUIJBERGEN|19860101|19890801|RK|Rooms-Katholiek
00AT|TECHN SCH DON BOSCO|1093|AMSTERDAM|19350901|19910801|RK|Rooms-Katholiek
00AU|Sch Raad PCO Flevoland|1351|ALMERE|19860101|20000801|PC|Protestants-Christelijk
00AV|De Morgenster|3201|SPIJKENISSE|19860801||GEV|Gereformeerd vrijgemaakt
00AW|Bergse Veld School|3055|ROTTERDAM|19000101||PC|Protestants-Christelijk
00AX|Heldring College|6671|ZETTEN|19860401|20020801|ABZ|Algemeen bijzonder
00AY|Informatiseringsbank UO|9722|GRONINGEN|19680101|20040101|RYK|Rijks
00AZ|De Stapsteen|2971|BLESKENSGRAAF CA|19850801||OPB|Openbaar
00BA|OBS De Klimboom|6666|HETEREN|19860801|20200801|OPB|Openbaar
00BB|Obs Letterwies|9944|NIEUWOLDA|19850801||OPB|Openbaar
00BC|Streekmuziekschool|7772|HARDENBERG|19000101|20140801|ABZ|Algemeen bijzonder
00BD|Coenecoop College|2741|WADDINXVEEN|19000101||OPB|Openbaar
00BE|Reg Ond Begeldienst Eeml|3816|AMERSFOORT|19730830||ABZ|Algemeen bijzonder
00BF|Cedin provincie Friesland|9202|DRACHTEN|19750801||ABZ|Algemeen bijzonder
00BG|OBD Noordwest|1625|HOORN NH|19750704||ABZ|Algemeen bijzonder
00BH|Saxion Hogeschool Deventer|7417|DEVENTER|19860801|20110901|ABZ|Algemeen bijzonder
00BI|Expertis|7556|HENGELO OV|19540101|20100101|ABZ|Algemeen bijzonder
00BJ|OCGH|5707|HELMOND|19760101||ABZ|Algemeen bijzonder
00BK|THERESIA MAVO|6828|ARNHEM|19000101|19910801|RK|Rooms-Katholiek
00BL|Lusthof Peuterspeelzaal|2271|VOORBURG|19820101|20180101|ABZ|Algemeen bijzonder
00BM|KTU|3584|UTRECHT|19850101|20060701|RK|Rooms-Katholiek
00BN|Stg Oud Kath Seminarie|3818|AMERSFOORT|19701207|20150101|ABZ|Algemeen bijzonder
