Code land|Herkomst-indikking volgens CBS-definitie|Herkomst-indikking (CBS) omschrijving
|99|Onbekend
0000|99|Onbekend
5001|10|Overig Amerika en Oceanië
5002|02|Europa (exclusief Nederland)
5003|02|Europa (exclusief Nederland)
5004|08|Overig Afrika
5005|08|Overig Afrika
5006|10|Overig Amerika en Oceanië
5007|05|Suriname
5008|08|Overig Afrika
5009|02|Europa (exclusief Nederland)
5010|02|Europa (exclusief Nederland)
5011|08|Overig Afrika
5012|09|Overig Azië
5013|10|Overig Amerika en Oceanië
5014|08|Overig Afrika
5015|02|Europa (exclusief Nederland)
5016|09|Overig Azië
5017|02|Europa (exclusief Nederland)
5018|09|Overig Azië
5019|08|Overig Afrika
5020|08|Overig Afrika
5021|10|Overig Amerika en Oceanië
5022|04|Marokko
5023|08|Overig Afrika
5024|08|Overig Afrika
5025|09|Overig Azië
5026|08|Overig Afrika
5027|09|Overig Azië
5028|08|Overig Afrika
5029|08|Overig Afrika
5030|08|Overig Afrika
5031|09|Overig Azië
5032|02|Europa (exclusief Nederland)
5033|10|Overig Amerika en Oceanië
5034|02|Europa (exclusief Nederland)
5035|08|Overig Afrika
5036|09|Overig Azië
5037|09|Overig Azië
5038|10|Overig Amerika en Oceanië
5039|02|Europa (exclusief Nederland)
5040|02|Europa (exclusief Nederland)
5041|10|Overig Amerika en Oceanië
5042|09|Overig Azië
5043|09|Overig Azië
5044|08|Overig Afrika
5045|02|Europa (exclusief Nederland)
5046|09|Overig Azië
5047|09|Overig Azië
5048|09|Overig Azië
5049|02|Europa (exclusief Nederland)
5050|08|Overig Afrika
5051|02|Europa (exclusief Nederland)
5052|09|Overig Azië
5053|02|Europa (exclusief Nederland)
5054|09|Overig Azië
5055|08|Overig Afrika
5056|02|Europa (exclusief Nederland)
5057|09|Overig Azië
5058|09|Overig Azië
5059|10|Overig Amerika en Oceanië
5060|08|Overig Afrika
5061|10|Overig Amerika en Oceanië
5062|10|Overig Amerika en Oceanië
5063|08|Overig Afrika
5064|10|Overig Amerika en Oceanië
5065|10|Overig Amerika en Oceanië
5066|10|Overig Amerika en Oceanië
5067|08|Overig Afrika
5068|09|Overig Azië
5069|10|Overig Amerika en Oceanië
5070|08|Overig Afrika
5071|10|Overig Amerika en Oceanië
5072|08|Overig Afrika
5073|08|Overig Afrika
5074|10|Overig Amerika en Oceanië
5075|08|Overig Afrika
5076|10|Overig Amerika en Oceanië
5077|10|Overig Amerika en Oceanië
5078|08|Overig Afrika
5079|09|Overig Azië
5080|10|Overig Amerika en Oceanië
5081|09|Overig Azië
5082|09|Overig Azië
5083|09|Overig Azië
5084|08|Overig Afrika
5085|09|Overig Azië
5086|09|Overig Azië
5087|09|Overig Azië
5088|09|Overig Azië
5089|09|Overig Azië
5090|09|Overig Azië
5091|09|Overig Azië
5092|10|Overig Amerika en Oceanië
5093|02|Europa (exclusief Nederland)
5094|09|Overig Azië
5095|06|Nederlands-Caribisch gebied
5096|08|Overig Afrika
5097|09|Overig Azië
5098|02|Europa (exclusief Nederland)
5099|09|Overig Azië
5100|02|Europa (exclusief Nederland)
5101|09|Overig Azië
5102|02|Europa (exclusief Nederland)
5103|02|Europa (exclusief Nederland)
5104|02|Europa (exclusief Nederland)
5105|02|Europa (exclusief Nederland)
5106|06|Nederlands-Caribisch gebied
5107|06|Nederlands-Caribisch gebied
5108|06|Nederlands-Caribisch gebied
5109|06|Nederlands-Caribisch gebied
5110|06|Nederlands-Caribisch gebied
5111|08|Overig Afrika
5112|09|Overig Azië
5113|02|Europa (exclusief Nederland)
6000|02|Europa (exclusief Nederland)
6001|08|Overig Afrika
6002|02|Europa (exclusief Nederland)
6003|02|Europa (exclusief Nederland)
6004|10|Overig Amerika en Oceanië
6005|08|Overig Afrika
6006|08|Overig Afrika
6007|02|Europa (exclusief Nederland)
6008|10|Overig Amerika en Oceanië
6009|08|Overig Afrika
6010|10|Overig Amerika en Oceanië
6011|02|Europa (exclusief Nederland)
6012|02|Europa (exclusief Nederland)
6013|08|Overig Afrika
6014|10|Overig Amerika en Oceanië
6015|10|Overig Amerika en Oceanië
6016|10|Overig Amerika en Oceanië
6017|10|Overig Amerika en Oceanië
6018|02|Europa (exclusief Nederland)
6019|08|Overig Afrika
6020|08|Overig Afrika
6021|09|Overig Azië
6022|09|Overig Azië
6023|09|Overig Azië
6024|07|Indonesië
6025|10|Overig Amerika en Oceanië
6026|09|Overig Azië
6027|02|Europa (exclusief Nederland)
6028|02|Europa (exclusief Nederland)
6029|02|Europa (exclusief Nederland)
6030|01|Nederland
6031|09|Overig Azië
6032|10|Overig Amerika en Oceanië
6033|10|Overig Amerika en Oceanië
6034|09|Overig Azië
6035|09|Overig Azië
6036|09|Overig Azië
6037|02|Europa (exclusief Nederland)
6038|02|Europa (exclusief Nederland)
6039|02|Europa (exclusief Nederland)
6040|08|Overig Afrika
6041|10|Overig Amerika en Oceanië
6042|09|Overig Azië
6043|03|Turkije
6044|10|Overig Amerika en Oceanië
6045|02|Europa (exclusief Nederland)
6046|08|Overig Afrika
6047|08|Overig Afrika
6048|08|Overig Afrika
6049|09|Overig Azië
6050|09|Overig Azië
6051|08|Overig Afrika
6052|10|Overig Amerika en Oceanië
6053|02|Europa (exclusief Nederland)
6054|10|Overig Amerika en Oceanië
6055|02|Europa (exclusief Nederland)
6056|09|Overig Azië
6057|09|Overig Azië
6058|10|Overig Amerika en Oceanië
6059|08|Overig Afrika
6060|08|Overig Afrika
6061|08|Overig Afrika
6062|10|Overig Amerika en Oceanië
6063|09|Overig Azië
6064|09|Overig Azië
6065|02|Europa (exclusief Nederland)
6066|02|Europa (exclusief Nederland)
6067|02|Europa (exclusief Nederland)
6068|02|Europa (exclusief Nederland)
6069|08|Overig Afrika
7001|08|Overig Afrika
7002|08|Overig Afrika
7003|02|Europa (exclusief Nederland)
7004|10|Overig Amerika en Oceanië
7005|02|Europa (exclusief Nederland)
7006|10|Overig Amerika en Oceanië
7007|10|Overig Amerika en Oceanië
7008|08|Overig Afrika
7009|09|Overig Azië
7011|06|Nederlands-Caribisch gebied
7012|09|Overig Azië
7014|08|Overig Afrika
7015|10|Overig Amerika en Oceanië
7016|08|Overig Afrika
7017|10|Overig Amerika en Oceanië
7018|10|Overig Amerika en Oceanië
7020|09|Overig Azië
7021|08|Overig Afrika
7023|08|Overig Afrika
7024|02|Europa (exclusief Nederland)
7026|09|Overig Azië
7027|10|Overig Amerika en Oceanië
7028|02|Europa (exclusief Nederland)
7029|02|Europa (exclusief Nederland)
7030|10|Overig Amerika en Oceanië
7031|08|Overig Afrika
7032|10|Overig Amerika en Oceanië
7033|09|Overig Azië
7034|08|Overig Afrika
7035|09|Overig Azië
7036|09|Overig Azië
7037|10|Overig Amerika en Oceanië
7038|10|Overig Amerika en Oceanië
7039|10|Overig Amerika en Oceanië
7040|08|Overig Afrika
7041|09|Overig Azië
7042|09|Overig Azië
7043|09|Overig Azië
7044|02|Europa (exclusief Nederland)
7045|09|Overig Azië
7046|09|Overig Azië
7047|02|Europa (exclusief Nederland)
7048|02|Europa (exclusief Nederland)
7049|10|Overig Amerika en Oceanië
7050|02|Europa (exclusief Nederland)
7051|09|Overig Azië
7052|09|Overig Azië
7053|10|Overig Amerika en Oceanië
7054|09|Overig Azië
7055|09|Overig Azië
7057|10|Overig Amerika en Oceanië
7058|07|Indonesië
7059|08|Overig Afrika
7060|09|Overig Azië
7062|10|Overig Amerika en Oceanië
7063|08|Overig Afrika
7064|02|Europa (exclusief Nederland)
7065|02|Europa (exclusief Nederland)
7066|02|Europa (exclusief Nederland)
7067|08|Overig Afrika
7068|08|Overig Afrika
7070|09|Overig Azië
7071|08|Overig Afrika
7072|08|Overig Afrika
7073|02|Europa (exclusief Nederland)
7074|09|Overig Azië
7075|09|Overig Azië
7076|08|Overig Afrika
7077|09|Overig Azië
7079|08|Overig Afrika
7080|09|Overig Azië
7082|08|Overig Afrika
7083|09|Overig Azië
7084|09|Overig Azië
7085|02|Europa (exclusief Nederland)
7087|02|Europa (exclusief Nederland)
7088|10|Overig Amerika en Oceanië
7089|10|Overig Amerika en Oceanië
7091|04|Marokko
7092|10|Overig Amerika en Oceanië
7093|10|Overig Amerika en Oceanië
7094|10|Overig Amerika en Oceanië
7095|10|Overig Amerika en Oceanië
7096|08|Overig Afrika
7097|10|Overig Amerika en Oceanië
7098|10|Overig Amerika en Oceanië
7099|10|Overig Amerika en Oceanië
8000|10|Overig Amerika en Oceanië
8001|10|Overig Amerika en Oceanië
8002|10|Overig Amerika en Oceanië
8003|10|Overig Amerika en Oceanië
8004|09|Overig Azië
8005|10|Overig Amerika en Oceanië
8006|10|Overig Amerika en Oceanië
8008|10|Overig Amerika en Oceanië
8009|10|Overig Amerika en Oceanië
8010|08|Overig Afrika
8011|10|Overig Amerika en Oceanië
8012|10|Overig Amerika en Oceanië
8013|10|Overig Amerika en Oceanië
8014|02|Europa (exclusief Nederland)
8015|10|Overig Amerika en Oceanië
8016|10|Overig Amerika en Oceanië
8017|10|Overig Amerika en Oceanië
8018|10|Overig Amerika en Oceanië
8019|10|Overig Amerika en Oceanië
8020|10|Overig Amerika en Oceanië
8021|10|Overig Amerika en Oceanië
8022|10|Overig Amerika en Oceanië
8023|08|Overig Afrika
8024|09|Overig Azië
8025|08|Overig Afrika
8026|08|Overig Afrika
8027|10|Overig Amerika en Oceanië
8028|10|Overig Amerika en Oceanië
8029|10|Overig Amerika en Oceanië
8030|10|Overig Amerika en Oceanië
8031|08|Overig Afrika
8032|09|Overig Azië
8033|10|Overig Amerika en Oceanië
8034|02|Europa (exclusief Nederland)
8035|02|Europa (exclusief Nederland)
8036|10|Overig Amerika en Oceanië
8037|10|Overig Amerika en Oceanië
8038|10|Overig Amerika en Oceanië
8039|10|Overig Amerika en Oceanië
8040|10|Overig Amerika en Oceanië
8041|10|Overig Amerika en Oceanië
8042|10|Overig Amerika en Oceanië
8043|10|Overig Amerika en Oceanië
8044|10|Overig Amerika en Oceanië
8045|10|Overig Amerika en Oceanië
9000|10|Overig Amerika en Oceanië
9001|08|Overig Afrika
9003|08|Overig Afrika
9005|04|Marokko
9006|08|Overig Afrika
9007|10|Overig Amerika en Oceanië
9008|08|Overig Afrika
9009|08|Overig Afrika
9010|08|Overig Afrika
9013|08|Overig Afrika
9014|10|Overig Amerika en Oceanië
9015|10|Overig Amerika en Oceanië
