Code land|Naam land|Migratieachtergrond kort|Naam migratieachtergrond kort|Migratieachtergrond lang|Naam migratieachtergrond lang
|NULL|9|onbekend|99|Onbekend
0000|Onbekend|9|onbekend|99|Onbekend
5001|Canada|2|westers|21|Westers Amerika
5002|Frankrijk|2|westers|24|Westers Europa
5003|Zwitserland|2|westers|24|Westers Europa
5004|Rhodesië|3|niet westers|31|Niet-Westers Afrika
5005|Malawi|3|niet westers|31|Niet-Westers Afrika
5006|Cuba|3|niet westers|32|Niet-Westers Amerika
5007|Suriname|3|niet westers|36|Niet-Westers Suriname
5008|Tunesië|3|niet westers|31|Niet-Westers Afrika
5009|Oostenrijk|2|westers|24|Westers Europa
5010|België|2|westers|24|Westers Europa
5011|Botswana|3|niet westers|31|Niet-Westers Afrika
5012|Iran|3|niet westers|34|Niet-Westers Azië
5013|Nieuw-Zeeland|2|westers|22|Westers Australië - Nw. Zeeland
5014|Zuid-Afrika|3|niet westers|31|Niet-Westers Afrika
5015|Denemarken|2|westers|24|Westers Europa
5016|Noord-Jemen|3|niet westers|34|Niet-Westers Azië
5017|Hongarije|2|westers|24|Westers Europa
5018|Saoedi-Arabië|3|niet westers|34|Niet-Westers Azië
5019|Liberia|3|niet westers|31|Niet-Westers Afrika
5020|Ethiopië|3|niet westers|31|Niet-Westers Afrika
5021|Chili|3|niet westers|32|Niet-Westers Amerika
5022|Marokko|3|niet westers|35|Niet-Westers Marokko
5023|Togo|3|niet westers|31|Niet-Westers Afrika
5024|Ghana|3|niet westers|31|Niet-Westers Afrika
5025|Laos|3|niet westers|34|Niet-Westers Azië
5026|Angola|3|niet westers|31|Niet-Westers Afrika
5027|Filipijnen|3|niet westers|34|Niet-Westers Azië
5028|Zambia|3|niet westers|31|Niet-Westers Afrika
5029|Mali|3|niet westers|31|Niet-Westers Afrika
5030|Ivoorkust|3|niet westers|31|Niet-Westers Afrika
5031|Burma|3|niet westers|34|Niet-Westers Azië
5032|Monaco|2|westers|24|Westers Europa
5033|Colombia|3|niet westers|32|Niet-Westers Amerika
5034|Albanië|2|westers|24|Westers Europa
5035|Kameroen|3|niet westers|31|Niet-Westers Afrika
5036|Zuid-Vietnam|3|niet westers|34|Niet-Westers Azië
5037|Singapore|3|niet westers|34|Niet-Westers Azië
5038|Paraguay|3|niet westers|32|Niet-Westers Amerika
5039|Zweden|2|westers|24|Westers Europa
5040|Cyprus|2|westers|24|Westers Europa
5041|Australisch Nieuw-Guinea|2|westers|25|Westers Oceanië overig
5042|Brunei|3|niet westers|34|Niet-Westers Azië
5043|Irak|3|niet westers|34|Niet-Westers Azië
5044|Mauritius|3|niet westers|31|Niet-Westers Afrika
5045|Vaticaanstad|2|westers|24|Westers Europa
5046|Kashmir|3|niet westers|34|Niet-Westers Azië
5047|Myanmar|3|niet westers|34|Niet-Westers Azië
5048|Jemen|3|niet westers|34|Niet-Westers Azië
5049|Slovenië|2|westers|24|Westers Europa
5050|Zaïre|3|niet westers|31|Niet-Westers Afrika
5051|Kroatië|2|westers|24|Westers Europa
5052|Taiwan|3|niet westers|34|Niet-Westers Azië
5053|Rusland|2|westers|24|Westers Europa
5054|Armenië|2|westers|24|Westers Europa
5055|Ascension|3|niet westers|31|Niet-Westers Afrika
5056|Azoren|2|westers|24|Westers Europa
5057|Bahrein|3|niet westers|34|Niet-Westers Azië
5058|Bhutan|3|niet westers|34|Niet-Westers Azië
5059|Britse Antillen|3|niet westers|32|Niet-Westers Amerika
5060|Comoren|3|niet westers|31|Niet-Westers Afrika
5061|Falklandeilanden|3|niet westers|32|Niet-Westers Amerika
5062|Frans-Guyana|3|niet westers|32|Niet-Westers Amerika
5063|Frans-Somaliland|3|niet westers|31|Niet-Westers Afrika
5064|Gilbert- en Ellice-eilanden|2|westers|25|Westers Oceanië overig
5065|Groenland|2|westers|21|Westers Amerika
5066|Guadeloupe|3|niet westers|32|Niet-Westers Amerika
5067|Kaapverdische Eilanden|3|niet westers|31|Niet-Westers Afrika
5068|Macau|3|niet westers|34|Niet-Westers Azië
5069|Martinique|3|niet westers|32|Niet-Westers Amerika
5070|Mozambique|3|niet westers|31|Niet-Westers Afrika
5071|Pitcairneilanden|2|westers|25|Westers Oceanië overig
5072|Guinee-Bissau|3|niet westers|31|Niet-Westers Afrika
5073|Réunion|3|niet westers|31|Niet-Westers Afrika
5074|Saint Pierre en Miquelon|3|niet westers|32|Niet-Westers Amerika
5075|Seychellen en Amiranten|3|niet westers|31|Niet-Westers Afrika
5076|Tonga|2|westers|25|Westers Oceanië overig
5077|Wallis en Futuna|2|westers|25|Westers Oceanië overig
