Code nationaliteit|Omschrijving nationaliteit|Migratieachtergrond kort|Naam migratieachtergrond kort|Migratieachtergrond lang|Naam migratieachtergrond lang
|NULL|9|onbekend|99|Onbekend
0000|Onbekend|9|onbekend|99|Onbekend
0001|Nederlandse|1|autochtoon|11|Autochtoon
0002|Behandeld als Nederlander|9|onbekend|99|Onbekend
0027|Slowaakse|2|westers|24|Westers Europa
0028|Tsjechische|2|westers|24|Westers Europa
0029|Burger van Bosnië-Herzegovina|2|westers|24|Westers Europa
0030|Georgische|2|westers|24|Westers Europa
0031|Turkmeense|2|westers|24|Westers Europa
0032|Tadzjiekse|2|westers|24|Westers Europa
0033|Oezbeekse|2|westers|24|Westers Europa
0034|Oekraïense|2|westers|24|Westers Europa
0035|Kirgizische|2|westers|24|Westers Europa
0036|Moldavische|2|westers|24|Westers Europa
0037|Kazachse|2|westers|24|Westers Europa
0038|Belarussische|2|westers|24|Westers Europa
0039|Azerbeidzjaanse|2|westers|24|Westers Europa
0040|Armeense|2|westers|24|Westers Europa
0041|Russische|2|westers|24|Westers Europa
0042|Sloveense|2|westers|24|Westers Europa
0043|Kroatische|2|westers|24|Westers Europa
0044|Letse|2|westers|24|Westers Europa
0045|Estische|2|westers|24|Westers Europa
0046|Litouwse|2|westers|24|Westers Europa
0047|Marshalleilandse|2|westers|25|Westers Oceanië overig
0048|Myanmarese|3|niet westers|34|Niet-Westers Azië
0049|Namibische|3|niet westers|31|Niet-Westers Afrika
0050|Albanese|2|westers|24|Westers Europa
0051|Andorrese|2|westers|24|Westers Europa
0052|Belgische|2|westers|24|Westers Europa
0053|Bulgaarse|2|westers|24|Westers Europa
0054|Deense|2|westers|24|Westers Europa
0055|Burger van de Bondsrepubliek Duitsland|2|westers|24|Westers Europa
0056|Finse|2|westers|24|Westers Europa
0057|Franse|2|westers|24|Westers Europa
0058|Jemenitische|3|niet westers|34|Niet-Westers Azië
0059|Griekse|2|westers|24|Westers Europa
0060|Brits burger|2|westers|24|Westers Europa
0061|Hongaarse|2|westers|24|Westers Europa
0062|Ierse|2|westers|24|Westers Europa
0063|IJslandse|2|westers|24|Westers Europa
0064|Italiaanse|2|westers|24|Westers Europa
0065|Joegoslavische|2|westers|24|Westers Europa
0066|Liechtensteinse|2|westers|24|Westers Europa
0067|Luxemburgse|2|westers|24|Westers Europa
0068|Maltese|2|westers|24|Westers Europa
0069|Monegaskische|2|westers|24|Westers Europa
0070|Noorse|2|westers|24|Westers Europa
0071|Oostenrijkse|2|westers|24|Westers Europa
0072|Poolse|2|westers|24|Westers Europa
0073|Portugese|2|westers|24|Westers Europa
0074|Roemeense|2|westers|24|Westers Europa
0075|Burger van de Sovjet-Unie|2|westers|24|Westers Europa
0076|San Marinese|2|westers|24|Westers Europa
0077|Spaanse|2|westers|24|Westers Europa
0078|Tsjecho-Slowaakse|2|westers|24|Westers Europa
0079|Vaticaanse|2|westers|24|Westers Europa
0080|Zweedse|2|westers|24|Westers Europa
0081|Zwitserse|2|westers|24|Westers Europa
0082|Oost-Duitse|2|westers|24|Westers Europa
0083|Brits onderdaan|2|westers|24|Westers Europa
0084|Eritrese|3|niet westers|31|Niet-Westers Afrika
0085|Brits overzees burger|2|westers|24|Westers Europa
0086|Macedonische|2|westers|24|Westers Europa
0087|Kosovaarse|2|westers|24|Westers Europa
0088|Burger van de Republiek Noord-Macedonië|2|westers|24|Westers Europa
0100|Algerijnse|3|niet westers|31|Niet-Westers Afrika
0101|Angolese|3|niet westers|31|Niet-Westers Afrika
0104|Burundese|3|niet westers|31|Niet-Westers Afrika
0105|Botswaanse|3|niet westers|31|Niet-Westers Afrika
0106|Burkinese|3|niet westers|31|Niet-Westers Afrika
0108|Centraal-Afrikaanse|3|niet westers|31|Niet-Westers Afrika
0109|Comorese|3|niet westers|31|Niet-Westers Afrika
0110|Burger van Congo|3|niet westers|31|Niet-Westers Afrika
0111|Beninse|3|niet westers|31|Niet-Westers Afrika
0112|Egyptische|3|niet westers|31|Niet-Westers Afrika
0113|Equatoriaal-Guinese|3|niet westers|31|Niet-Westers Afrika
0114|Ethiopische|3|niet westers|31|Niet-Westers Afrika
0117|Gambiaanse|3|niet westers|31|Niet-Westers Afrika
0118|Ghanese|3|niet westers|31|Niet-Westers Afrika
0115|Djiboutiaanse|3|niet westers|31|Niet-Westers Afrika
0116|Gabonese|3|niet westers|31|Niet-Westers Afrika
0119|Guinese|3|niet westers|31|Niet-Westers Afrika
0120|Ivoriaanse|3|niet westers|31|Niet-Westers Afrika
0121|Kaapverdische|3|niet westers|31|Niet-Westers Afrika
