Instellingscode|Vestigingsnummer|Naam|Postcodecijfers|Plaats|Datum oprichting|Datum opheffing|Code denominatie (= richting)|Naam denominatie (= richting)
00AF|00|HET YSSELCOLLEGE|8021|ZWOLLE|19720801|19961101|ABZ|Algemeen bijzonder
00AF|01|HET YSSELCOLLEGE|8021|ZWOLLE|19720801|19961101|ABZ|Algemeen bijzonder
00AF|02|HET YSSELCOLLEGE|8262|KAMPEN|19720801|19961101|ABZ|Algemeen bijzonder
00AG|00|OPL OEFENTHERAPIE CESAR|3734|DEN DOLDER|19810101|19970101|ABZ|Algemeen bijzonder
00AH|00|Het Stedelijk Kottenpark|7522|ENSCHEDE|19750801||OPB|Openbaar
00AH|01|GEM SGS V MAVO LEAO LTO|7523|ENSCHEDE|19940801|19000101|OPB|Openbaar
00AH|02|Opb SGM t Stedelijk Lyceum|7521|ENSCHEDE|19750801|20080101|OPB|Openbaar
00AH|03|Opb SGM t Stedelijk Lyceum|7545|ENSCHEDE|19750801|20080101|OPB|Openbaar
00AH|04|GEM SGS V MAVO LEAO LTO|7534|ENSCHEDE|19940801|19000101|OPB|Openbaar
00AH|05|GEM SGS V MAVO LEAO LTO|7544|ENSCHEDE|19940801|19000101|OPB|Openbaar
00AH|06|Opb SGM t Stedelijk Lyceum|7522|ENSCHEDE|19750801|20090801|OPB|Openbaar
00AH|07|Het Stedelijk College Zuid|7541|ENSCHEDE|19750801||OPB|Openbaar
00AH|08|Het Stedelijk Zwering|7545|ENSCHEDE|19750801||OPB|Openbaar
00AH|09|Het Stedelijk Innova|7533|ENSCHEDE|19750801||OPB|Openbaar
00AH|10|Opb SGM t Stedelijk Lyceum|7544|ENSCHEDE|19750801|20090801|OPB|Openbaar
00AH|11|Het Stedelijk ISK|7523|ENSCHEDE|19750801||OPB|Openbaar
00AH|12|Opb SGM t Stedelijk Lyceum|7514|ENSCHEDE|19750801|20130801|OPB|Openbaar
00AH|13|Opb SGM t Stedelijk Lyceum|7544|ENSCHEDE|20020801|20080101|OPB|Openbaar
00AH|14|Stedelijk Lyceum|7544|ENSCHEDE|19750801|20130801|OPB|Openbaar
00AH|15|Het Zwering|7545|ENSCHEDE|19750801|20080801|OPB|Openbaar
