Code vooropleiding oorspr. code|Onderwijssector|Omschrijving vooropleiding oorspr. code
||20200803
00002|VO|HAVO-certificaat
00003|VO|VWO-certificaat
00050|VO|havo
00051|VO|havo profiel natuur en techniek
00052|VO|havo profiel natuur en gezondheid
00053|VO|havo profiel economie en maatschappij
00054|VO|havo profiel cultuur en maatschappij
00060|VO|HAVO/MBO
00070|VO|Ander AVO incl. MMS en HBS
00098|VO|havo of havo/mbo (deze vooropleiding is toegevoegd na analyse)
00100|VO|HBS
00101|VO|HBS-A
00102|VO|HBS-B
00105|OVG|Europese school
00151|VO|havo profiel natuur en techniek
00152|VO|havo profiel natuur en gezondheid
00153|VO|havo profiel economie en maatschappij
00154|VO|havo profiel cultuur en maatschappij
00155|VO|havo profiel natuur en techniek + natuur en gezondheid
00156|VO|havo profiel natuur en techniek + economie en maatschappij
00157|VO|havo profiel natuur en techniek + cultuur en maatschappij
00158|VO|havo profiel natuur en gezondheid + economie en maatschappij
00159|VO|havo profiel natuur en gezondheid + cultuur en maatschappij
00160|VO|havo profiel economie en maatschappij + cultuur en maatschappij
00161|VO|havo oude stijl
00170|VO|vwo profiel natuur en techniek
00171|VO|vwo profiel natuur en gezondheid
00172|VO|vwo profiel economie en maatschappij
00173|VO|vwo profiel cultuur en maatschappij
00174|VO|vwo profiel natuur en techniek + natuur en gezondheid
00175|VO|vwo profiel natuur en techniek + economie en maatschappij
00176|VO|vwo profiel natuur en techniek + cultuur en maatschappij
00177|VO|vwo profiel natuur en gezondheid + cultuur en maatschappij
00178|VO|vwo profiel natuur en gezondheid + economie en maatschappij
00179|VO|vwo profiel economie en maatschappij + cultuur en maatschappij
00200|VO|vwo/vhmo (deze vooropleiding is toegevoegd na analyse)
00201|MBO|MBO techniek
00202|MBO|MBO weg- en waterbouwkunde
00203|MBO|MBO proces- en laboratoriumtechniek
00204|MBO|MBO nautische beroepen
00205|MBO|MBO operationele techniek
00206|MBO|MBO fijnmechanische techniek
00207|MBO|MBO grafische techniek
00208|MBO|MBO fijne techniek
00209|MBO|MBO instrument techniek
00210|MBO|MBO edelsmeden
00211|MBO|MBO houtbewerking en woninginrichting
00212|MBO|MBO beschermings- en afwerkingstechnieken
00213|MBO|MBO luchtvaarttechniek
00214|MBO|MBO mode en kleding
00215|MBO|MBO wegenbouwmachinisten
00216|MBO|MBO brood- en banketbakken
00217|MBO|MBO bedrijfmanagement motorvoertuigen
00218|MBO|MBO reclame- en presentatietechnieken
00220|MBO|MBO plantenteelt
00221|MBO|MBO veehouderij
00222|MBO|MBO levensmiddelentechnologie
00223|MBO|MBO bloemschikken
00224|MBO|MBO dierverzorging en veterinaire ondersteuning
00225|MBO|MBO biologische dynamische land- en tuinbouw
00226|MBO|MBO paardenhouderij en paardensport
00227|MBO|MBO groene ruimte
00230|MBO|MBO administratie
00231|MBO|MBO handel
00232|MBO|MBO toerisme en recreatie
00233|MBO|MBO horeca
00234|MBO|MBO slagerij en vleessector
00235|MBO|MBO levensmiddelenhandel
00236|MBO|MBO textielhandel
00240|MBO|MBO dienstverlening en gezondheidszorg
00241|MBO|MBO mode en kleding
00242|MBO|MBO assisterende beroepen in de gezondheidszorg
00243|MBO|MBO uiterlijke verzorging
00244|MBO|MBO facilitaire dienstverlening
00245|MBO|MBO sport en bewegen
00246|MBO|MBO verpleging
00300|VO|vwo/vhmo (deze vooropleiding is toegevoegd na analyse)
00301|VO|Gymnasium A oude stijl
00303|VO|Gymnasium B oude stijl
00305|VO|vwo/vhmo (deze vooropleiding is toegevoegd na analyse)
00310|VO|vwo/vhmo (deze vooropleiding is toegevoegd na analyse)
00311|VO|vwo/vhmo (deze vooropleiding is toegevoegd na analyse)
00312|VO|vwo/vhmo (deze vooropleiding is toegevoegd na analyse)
00350|VO|vwo
00351|VO|vwo profiel natuur en techniek
00352|VO|vwo profiel natuur en gezondheid
00353|VO|vwo profiel economie en maatschappij
00354|VO|vwo profiel cultuur en maatschappij
00355|VO|vwo profiel natuur en techniek + natuur en gezondheid
00356|VO|vwo profiel natuur en techniek + economie en maatschappij
00357|VO|vwo profiel natuur en techniek + cultuur en maatschappij
00358|VO|vwo profiel natuur en gezondheid + economie en maatschappij
00359|VO|vwo profiel natuur en gezondheid + cultuur en maatschappij
00360|VO|vwo profiel economie en maatschappij + cultuur en maatschappij
00361|VO|vwo oude stijl
00370|VO|havo profiel natuur en techniek
00371|VO|havo profiel natuur en gezondheid
00372|VO|havo profiel economie en maatschappij
00373|VO|havo profiel cultuur en maatschappij
00374|VO|havo profiel natuur en techniek + natuur en gezondheid
00375|VO|havo profiel natuur en techniek + economie en maatschappij
00376|VO|havo profiel natuur en techniek + cultuur en maatschappij
00377|VO|havo profiel natuur en gezondheid + cultuur en maatschappij
00378|VO|havo profiel natuur en gezondheid + economie en maatschappij
00379|VO|havo profiel economie en maatschappij + cultuur en maatschappij
00380|VO|vwo (tijdelijk)
00398|VO|vwo/vhmo (deze vooropleiding is toegevoegd na analyse)
00400|MBO|MBO
00410|MBO|Middelbare agrarische school + stova
00420|MBO|Middelbaar technisch onderwijs
00421|MBO|Middelbare technisch onderwijs (met verklaring)
00422|MBO|Middelbaar nautisch onderwijs
00423|MBO|School voor laboratorium personeel mbo + mlo
00430|MBO|Ziekenverpleging a,b,z
00431|MBO|Middelbaar dienstverlengings- en gezondheidszorgonderwijs
00440|MBO|Middelbaar economisch administratie onderwijs
00441|MBO|Middelbaar middenstandsonderwijs
00450|MBO|Vooropleiding hoger beroepsonderwijs
00451|MBO|Middelbaar huishoud- en nijverheidsonderwijs
00460|MBO|Middelbaar sociaal pedagogisch onderwijs (exclusief gezondheidszorg)
00470|MBO|Diploma middelbaar beroepsonderwijs op basis van certificaat-eenheden
00480|HO|Opleiding kleuterleidsters
00490|MBO|Ander middelbaar beroepsonderwijs
00491|MBO|Andere MBO-opleiding
00499|MBO|Ander middelbaar beroepsonderwijs (deze vooropleiding is toegevoegd na analyse)
