Variable;Used;Sensitive
persoonsgebonden_nummer;TRUE;FALSE
inschrijvingsjaar;TRUE;FALSE
instellingscode;FALSE;FALSE
actuele_instelling;FALSE;FALSE
opleidingscode;FALSE;FALSE
opleidingsvorm;FALSE;FALSE
opleidingsfase;FALSE;FALSE
maand_vanaf;FALSE;FALSE
code_beeindiging;FALSE;FALSE
maand_tot;FALSE;FALSE
code_examenresultaat;FALSE;FALSE
maand_examenresultaat;FALSE;FALSE
code_bekostiging;FALSE;FALSE
eerste_jaar_aan_deze_instelling;FALSE;FALSE
inschrijvingsvorm;FALSE;FALSE
soort_hoger_onderwijs;FALSE;FALSE
opleiding_actueel_equivalent;FALSE;FALSE
opleiding_historisch_equivalent;FALSE;FALSE
croho_onderdeel_actuele_opleiding;FALSE;FALSE
croho_subonderdeel_actuele_opleiding;FALSE;FALSE
type_hoger_onderwijs_binnen_soort_hoger_onderwijs;FALSE;FALSE
opleidingsfase_actueel;FALSE;FALSE
indicatie_actief_op_peildatum;FALSE;FALSE
soort_inschrijving_hoger_onderwijs;FALSE;FALSE
soort_inschrijving_soort_ho;FALSE;FALSE
soort_inschrijving_type_ho_binnen_soort_ho;FALSE;FALSE
soort_inschrijving_opleiding_actueel_equivalent;FALSE;FALSE
soort_inschrijving_actuele_instelling;FALSE;FALSE
soort_inschrijving_actuele_opleiding_instelling;FALSE;FALSE
verblijfsjaar_hoger_onderwijs;FALSE;FALSE
verblijfsjaar_soort_ho;FALSE;FALSE
verblijfsjaar_type_ho_binnen_soort_ho;FALSE;FALSE
indicatie_eerstejaars_opl_actueel_equivalent;FALSE;FALSE
indicatie_eerstejaars_actuele_instelling;FALSE;FALSE
indicatie_eerstejaars_actuele_opl_instelling;FALSE;FALSE
eerste_jaar_in_het_hoger_onderwijs;FALSE;FALSE
eerste_jaar_aan_deze_soort_hoger_onderwijs;FALSE;FALSE
eerste_jaar_aan_deze_opleiding_instelling;FALSE;FALSE
diplomajaar;FALSE;FALSE
opleidingsfase_actueel_van_het_diploma;FALSE;FALSE
soort_diploma_hoger_onderwijs_internat_statistiek;FALSE;FALSE
soort_diploma_hoger_onderwijs;FALSE;FALSE
soort_diploma_soort_hoger_onderwijs;FALSE;FALSE
soort_diploma_instelling;FALSE;FALSE
hoogste_vooropleiding_voor_het_ho;FALSE;FALSE
hoogste_vooropleiding_voor_het_ho_oorspronkelijke_code;FALSE;FALSE
diplomajaar_van_de_hoogste_vooropl_voor_het_ho;FALSE;FALSE
instelling_van_de_hoogste_vooropl_voor_het_ho;FALSE;FALSE
hoogste_vooropleiding_binnen_het_ho;FALSE;FALSE
hoogste_vooropleiding_binnen_het_ho_oorspronkelijke_code;FALSE;FALSE
diplomajaar_van_de_hoogste_vooropl_binnen_het_ho;FALSE;FALSE
instelling_van_de_hoogste_vooropl_binnen_het_ho;FALSE;FALSE
hoogste_vooropleiding;FALSE;FALSE
diplomajaar_hoogste_vooropleiding;FALSE;FALSE
instelling_van_de_hoogste_vooropleiding;FALSE;FALSE
geslacht;TRUE;TRUE
leeftijd_per_peildatum_1_oktober;TRUE;FALSE
leeftijd_per_1_januari;FALSE;FALSE
nationaliteit_1;FALSE;FALSE
nationaliteit_2;FALSE;FALSE
nationaliteit_3;FALSE;FALSE
geboorteland;FALSE;FALSE
geboorteland_ouder_1;FALSE;FALSE
geboorteland_ouder_2;FALSE;FALSE
etniciteit;FALSE;FALSE
generatie;FALSE;FALSE
gecorrigeerd_eerste_jaar_aan_deze_instelling;FALSE;FALSE
eerste_jaar_aan_deze_actuele_instelling;FALSE;FALSE
soort_inschrijving_act_inst_type_ho_binnen_soort_ho;FALSE;FALSE
indicatie_eerstejrs_act_inst_type_ho_binnen_soort_ho;FALSE;FALSE
actuele_instelling_voor_besturenfusies;FALSE;FALSE
soort_inschrijving_type_ho_binnen_ho;FALSE;FALSE
verblijfsjaar_type_ho_binnen_ho;FALSE;FALSE
postcodecijfers_student_op_1_oktober;FALSE;FALSE
postcodecijfers_van_de_hoogste_vooropl_voor_het_ho;FALSE;FALSE
gem_eindcijfer_vo_van_de_hoogste_vooropl_voor_het_ho;FALSE;FALSE
soort_inschrijving_continu_hoger_onderwijs;FALSE;FALSE
soort_inschrijving_continu_soort_ho;FALSE;FALSE
soort_inschrijving_continu_actuele_instelling;FALSE;FALSE
soort_inschrijving_continu_type_ho_binnen_ho;FALSE;FALSE
indicatie_eerstejaars_continu_hoger_onderwijs;FALSE;FALSE
indicatie_eerstejaars_continu_soort_ho;FALSE;FALSE
indicatie_eerstejaars_continu_actuele_instelling;FALSE;FALSE
indicatie_eerstejaars_continu_type_ho_binnen_ho;FALSE;FALSE
indicatie_soort_programma;FALSE;FALSE
datum_inschrijving;FALSE;FALSE
datum_uitschrijving;FALSE;FALSE
